TimeStamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Quat_1,Quat_2,Quat_3,Quat_4
0.6316352,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.06017835, 0.6753252, 0.1739269, -0.6650811
0.6342268,-1.018677,0.1051025,0.03320312,1.716614,1.649857,1.39904, 0.05896674, 0.6761701, 0.1704914, -0.6666396
0.6378598,-0.9991454,0.09777831,0.01220702,0.7705688,-0.3786087,-2.490997, 0.05773369, 0.6770519, 0.1671528, -0.6681146
0.6412888,-0.9991454,0.09777831,0.01220702,0.7705688,-0.3786087,-2.490997, 0.05773369, 0.6770519, 0.1671528, -0.6681146
0.6451278,-0.9991454,0.09777831,0.01220702,0.7705688,-0.3786087,-2.490997, 0.05773369, 0.6770519, 0.1671528, -0.6681146
0.6482058,-0.9991454,0.09777831,0.01220702,0.7705688,-0.3786087,-2.490997, 0.05773369, 0.6770519, 0.1671528, -0.6681146
0.6513324,-0.9991454,0.09240721,0.01123046,3.27301,0.9174347,2.070427, 0.05650211, 0.6780478, 0.163695, -0.6694543
0.6551218,-1.000122,0.09729002,0.03417968,3.395081,3.206253,2.802849, 0.05529964, 0.6790813, 0.1599848, -0.6707345
0.6586676,-1.000122,0.09729002,0.03417968,3.395081,3.206253,2.802849, 0.05529964, 0.6790813, 0.1599848, -0.6707345
0.6672869,-1.000122,0.09729002,0.03417968,3.395081,3.206253,2.802849, 0.05529964, 0.6790813, 0.1599848, -0.6707345
0.6787553,-1.000122,0.09729002,0.03417968,3.395081,3.206253,2.802849, 0.05529964, 0.6790813, 0.1599848, -0.6707345
0.6819134,-1.000122,0.09729002,0.03417968,3.395081,3.206253,2.802849, 0.05529964, 0.6790813, 0.1599848, -0.6707345
0.6846776,-1.000122,0.09729002,0.03417968,3.395081,3.206253,2.802849, 0.05529964, 0.6790813, 0.1599848, -0.6707345
